species,species_code,identifier,in_previous_dataset
Maize,zma,GRMZM2G422750 ,TRUE
Maize,zma,GRMZM2G155329 ,FALSE
Maize,zma,GRMZM2G025832 ,FALSE
Maize,zma,GRMZM2G062396 ,FALSE
Maize,zma,GRMZM2G026930 ,TRUE
Maize,zma,GRMZM2G345717 ,TRUE
Maize,zma,GRMZM2G165390 ,TRUE
Maize,zma,GRMZM2G016241 ,TRUE
Maize,zma,GRMZM2G111903 ,FALSE
Maize,zma,GRMZM5G822829 ,FALSE
Maize,zma,GRMZM2G005066 ,TRUE
Maize,zma,GRMZM2G084799 ,TRUE
Maize,zma,GRMZM2G701063 ,TRUE
Maize,zma,GRMZM5G822829 ,TRUE
Maize,zma,GRMZM2G172795 ,TRUE
Maize,zma,GRMZM2G058432 ,FALSE
Arabidopsis,ath,At5g13930 ,TRUE
Arabidopsis,ath,At3g55120 ,TRUE
Arabidopsis,ath,At3g51240,TRUE
Arabidopsis,ath,At5g07990,TRUE
Arabidopsis,ath,At5g42800,TRUE
Arabidopsis,ath,At4g22880,FALSE
Arabidopsis,ath,At1g61720,TRUE
Arabidopsis,ath,At5g17220 ,TRUE
Arabidopsis,ath,At1g17260 ,FALSE
Arabidopsis,ath,At5g48100,TRUE
Arabidopsis,ath,At1g43620 ,TRUE
Arabidopsis,ath,At3g59030,TRUE
Arabidopsis,ath,At5g23260,TRUE
Arabidopsis,ath,At1g34790,TRUE
Arabidopsis,ath,At5g35550,TRUE
Arabidopsis,ath,At4g09820,TRUE
Arabidopsis,ath,At5g24520,TRUE
Arabidopsis,ath,At2g37260,TRUE
