id,Rank,Gene
1221,1,pac1
153,2,r1
149,3,a1
151,4,b1
863,5,c2
873,6,vp1
2114,7,anl1
2881,8,enr1
2363,9,in1
2880,10,alpha
2882,11,inr1
2883,12,inr2
2884,13,Nc1
2885,14,Nc2
2886,15,Nc3
2971,16,pr1
193,17,bz1
194,18,bz2
2212,19,dap1
457,20,an1
2079,21,stk1
148,22,c1
2362,23,da1
1640,24,p1
2080,25,bn1
2081,26,brn1
152,27,a2
653,28,dek1
1934,29,cl1
2173,30,cl*-N795
2174,31,cl*-N801
2175,32,cl*-N818A
656,33,emp4
2159,34,dek24
2169,35,emp3
2318,36,emp6
2412,37,dek*-MS2425
2413,38,dek*-MS6214
2414,39,emp1
2415,40,emp10
2416,41,emp108
2417,42,emp11
2418,43,emp12
2419,44,emp16
2420,45,emp17
2421,46,emp18
2422,47,emp2
2423,48,emp5
2424,49,emp7
2425,50,emp8
