id,Rank,Gene
2971,1,pr1
153,2,r1
193,3,bz1
194,4,bz2
149,5,a1
151,6,b1
148,7,c1
152,8,a2
150,9,vp10
2170,10,beta
2171,11,mdr1
2172,12,Sc
2986,13,pr*-N850
1640,14,p1
863,15,c2
873,16,vp1
2114,17,anl1
653,18,dek1
1934,19,cl1
2080,20,bn1
2173,21,cl*-N795
2174,22,cl*-N801
2175,23,cl*-N818A
2363,24,in1
2079,25,stk1
457,26,an1
2412,27,dek*-MS2425
2413,28,dek*-MS6214
2414,29,emp1
2422,30,emp2
656,31,emp4
2159,32,dek24
2169,33,emp3
2318,34,emp6
2415,35,emp10
2416,36,emp108
2417,37,emp11
2418,38,emp12
2419,39,emp16
2420,40,emp17
2421,41,emp18
2423,42,emp5
2424,43,emp7
2425,44,emp8
2426,45,emp9
2427,46,mcsf1
2428,47,pprsmr1
2429,48,sweet4c
2212,49,dap1
709,50,cr4
