Rank	Species	Gene	Gene Model	Score	Query	Matches	Internal ID
1	Maize	brn1		0.673	Pale brown seeds.	Brown embryo.	2867
1	Maize	brn1		0.562	Pale brown seeds.	Brown kernel.	2867
1	Maize	brn1		0.502	Pale brown seeds.	Brown aleurone.	2867
1	Maize	brn1		0.328	Pale brown seeds.	Yellowish brown color in the aleurone layer.	2867
1	Maize	brn1		0.132	Pale brown seeds.	In Bn1, can cause kernel color of white endosperm mutants to appear pale yellow or lemon.	2867
1	Maize	brn1		0.124	Yellow seed coat.	In Bn1, can cause kernel color of white endosperm mutants to appear pale yellow or lemon.	2867
1	Maize	brn1		0.000	Yellow seed coat.	Brown aleurone.	2867
1	Maize	brn1		0.000	Yellow seed coat.	Yellowish brown color in the aleurone layer.	2867
1	Maize	brn1		0.000	Yellow seed coat.	Brown embryo.	2867
1	Maize	brn1		0.000	Yellow seed coat.	Brown kernel.	2867
1	Maize	brn1		0.000	Yellow seed coat.	Lethal.	2867
1	Maize	brn1		0.000	Yellow seed coat.	Seedling lethal.	2867
1	Maize	brn1		0.000	Pale brown seeds.	Lethal.	2867
1	Maize	brn1		0.000	Pale brown seeds.	Seedling lethal.	2867
1	Maize	brn1		0.000	Average height = 38 cm.	Brown aleurone.	2867
1	Maize	brn1		0.000	Average height = 38 cm.	In Bn1, can cause kernel color of white endosperm mutants to appear pale yellow or lemon.	2867
1	Maize	brn1		0.000	Average height = 38 cm.	Yellowish brown color in the aleurone layer.	2867
1	Maize	brn1		0.000	Average height = 38 cm.	Brown embryo.	2867
1	Maize	brn1		0.000	Average height = 38 cm.	Brown kernel.	2867
1	Maize	brn1		0.000	Average height = 38 cm.	Lethal.	2867
1	Maize	brn1		0.000	Average height = 38 cm.	Seedling lethal.	2867
1	Maize	brn1		0.000	Reduced seed dormancy compared to wild type, fresh harvested seeds germinate at high frequency (85% germination with GA).	Brown aleurone.	2867
