Rank	Species	Gene	Gene Model	Score	Query	Matches	Internal ID
1	Maize	pg*-N526C		0.682	Yellow seeds.	Less yellow than yellow green.	3689
1	Maize	pg*-N526C		0.469	Yellow seeds.	Yellow green leaf.	3689
1	Maize	pg*-N526C		0.438	Yellow seed coat.	Less yellow than yellow green.	3689
1	Maize	pg*-N526C		0.301	Yellow seed coat.	Yellow green leaf.	3689
1	Maize	pg*-N526C		0.233	Yellow seeds due to absence of brown pigment in seed coat (testa).	Less yellow than yellow green.	3689
1	Maize	pg*-N526C		0.160	Yellow seeds due to absence of brown pigment in seed coat (testa).	Yellow green leaf.	3689
1	Maize	pg*-N526C		0.000	Yellow seed coat.	Pale green plant.	3689
1	Maize	pg*-N526C		0.000	Yellow seed coat.	Lighter green seedlings or plants.	3689
1	Maize	pg*-N526C		0.000	Yellow seeds.	Pale green plant.	3689
1	Maize	pg*-N526C		0.000	Yellow seeds.	Lighter green seedlings or plants.	3689
1	Maize	pg*-N526C		0.000	Leaky allele revealed by spotted seeds in DMACA stain.	Pale green plant.	3689
1	Maize	pg*-N526C		0.000	Leaky allele revealed by spotted seeds in DMACA stain.	Lighter green seedlings or plants.	3689
1	Maize	pg*-N526C		0.000	Leaky allele revealed by spotted seeds in DMACA stain.	Less yellow than yellow green.	3689
1	Maize	pg*-N526C		0.000	Leaky allele revealed by spotted seeds in DMACA stain.	Yellow green leaf.	3689
1	Maize	pg*-N526C		0.000	Yellow seeds due to absence of brown pigment in seed coat (testa).	Pale green plant.	3689
1	Maize	pg*-N526C		0.000	Yellow seeds due to absence of brown pigment in seed coat (testa).	Lighter green seedlings or plants.	3689
1	Maize	pg*-N526C		0.000	Approximately wild-type anthocyanin levels observed in leaves, stems and other tissues.	Pale green plant.	3689
1	Maize	pg*-N526C		0.000	Approximately wild-type anthocyanin levels observed in leaves, stems and other tissues.	Lighter green seedlings or plants.	3689
1	Maize	pg*-N526C		0.000	Approximately wild-type anthocyanin levels observed in leaves, stems and other tissues.	Less yellow than yellow green.	3689
1	Maize	pg*-N526C		0.000	Approximately wild-type anthocyanin levels observed in leaves, stems and other tissues.	Yellow green leaf.	3689
2	Maize	pg*-N408C		0.682	Yellow seeds.	Less yellow than yellow green.	3687
2	Maize	pg*-N408C		0.469	Yellow seeds.	Yellow green leaf.	3687
2	Maize	pg*-N408C		0.438	Yellow seed coat.	Less yellow than yellow green.	3687
2	Maize	pg*-N408C		0.301	Yellow seed coat.	Yellow green leaf.	3687
2	Maize	pg*-N408C		0.233	Yellow seeds due to absence of brown pigment in seed coat (testa).	Less yellow than yellow green.	3687
2	Maize	pg*-N408C		0.160	Yellow seeds due to absence of brown pigment in seed coat (testa).	Yellow green leaf.	3687
2	Maize	pg*-N408C		0.000	Yellow seed coat.	Pale green plant.	3687
2	Maize	pg*-N408C		0.000	Yellow seed coat.	Lighter green seedlings or plants.	3687
2	Maize	pg*-N408C		0.000	Yellow seeds.	Pale green plant.	3687
2	Maize	pg*-N408C		0.000	Yellow seeds.	Lighter green seedlings or plants.	3687
2	Maize	pg*-N408C		0.000	Leaky allele revealed by spotted seeds in DMACA stain.	Pale green plant.	3687
2	Maize	pg*-N408C		0.000	Leaky allele revealed by spotted seeds in DMACA stain.	Lighter green seedlings or plants.	3687
2	Maize	pg*-N408C		0.000	Leaky allele revealed by spotted seeds in DMACA stain.	Less yellow than yellow green.	3687
2	Maize	pg*-N408C		0.000	Leaky allele revealed by spotted seeds in DMACA stain.	Yellow green leaf.	3687
2	Maize	pg*-N408C		0.000	Yellow seeds due to absence of brown pigment in seed coat (testa).	Pale green plant.	3687
