Rank	Species	Gene	Gene Model	Score	Query	Matches	Internal ID
1	Maize	a1	GRMZM2G026930	1.000	Aleuron layer is colored.	Aleuron layer is colored.	166
1	Maize	a1	GRMZM2G026930	1.000	Anthers are green.	Anthers are green.	166
1	Maize	a1	GRMZM2G026930	1.000	Anthers are green.	Green anthers.	166
1	Maize	a1	GRMZM2G026930	1.000	No color in aleurone.	No color in aleurone.	166
1	Maize	a1	GRMZM2G026930	1.000	No color in aleurone.	Colored aleurone.	166
1	Maize	a1	GRMZM2G026930	1.000	Lack of anthocyanins in aleurone.	Lack of anthocyanins in aleurone.	166
1	Maize	a1	GRMZM2G026930	1.000	Seedling dies.	Seedling dies.	166
1	Maize	a1	GRMZM2G026930	1.000	Silks are green.	Silks are green.	166
1	Maize	a1	GRMZM2G026930	1.000	Silks are green.	Green silks.	166
1	Maize	a1	GRMZM2G026930	1.000	The pericarp is brown.	The pericarp is brown.	166
1	Maize	a1	GRMZM2G026930	1.000	The pericarp is brown.	Brown pericarp.	166
1	Maize	a1	GRMZM2G026930	1.000	Aleuron layer is colored, leading to a colored kernel.	Aleuron layer is colored, leading to a colored kernel.	166
1	Maize	a1	GRMZM2G026930	1.000	Anthers are green, rather than the normal yellow.	Anthers are green, rather than the normal yellow.	166
1	Maize	a1	GRMZM2G026930	1.000	No color in the aleurone, specifically no color due to anthocyanins.	No color in the aleurone, specifically no color due to anthocyanins.	166
1	Maize	a1	GRMZM2G026930	1.000	However, anthocyanin pigmented sectors are present.	However, anthocyanin pigmented sectors are present.	166
1	Maize	a1	GRMZM2G026930	1.000	In addition, lack of a1 transcript is confirmed.	In addition, lack of a1 transcript is confirmed.	166
1	Maize	a1	GRMZM2G026930	1.000	Seedling dies after endosperm is used up.	Seedling dies after endosperm is used up.	166
1	Maize	a1	GRMZM2G026930	1.000	Silks are green, rather than the normal yellow/white.	Silks are green, rather than the normal yellow/white.	166
1	Maize	a1	GRMZM2G026930	1.000	A1 null transcript.	A1 null transcript.	166
1	Maize	a1	GRMZM2G026930	1.000	Brown pericarp.	The pericarp is brown.	166
1	Maize	a1	GRMZM2G026930	1.000	Brown pericarp.	Brown pericarp.	166
1	Maize	a1	GRMZM2G026930	1.000	Colored aleurone.	No color in aleurone.	166
1	Maize	a1	GRMZM2G026930	1.000	Colored aleurone.	Colored aleurone.	166
1	Maize	a1	GRMZM2G026930	1.000	Anthocyanin color with A1 A2 C1 C2 R1.	Anthocyanin color with A1 A2 C1 C2 R1.	166
1	Maize	a1	GRMZM2G026930	1.000	Would be purple if with Pr1, Bz1 and Bz2.	Would be purple if with Pr1, Bz1 and Bz2.	166
