Rank	Species	Gene	Gene Model	Score	Query	Matches	Internal ID
1	Arabidopsis	APG7	AT5G45900	1.000	The atg7-1 plants are hypersensitive to either nitrogen or carbon deprivation.	The atg7-1 plants are hypersensitive to either nitrogen or carbon deprivation.	5585
1	Arabidopsis	APG7	AT5G45900	1.000	Senescence is initiated more quickly than in wild type.	Senescence is initiated more quickly than in wild type.	5585
1	Arabidopsis	APG7	AT5G45900	1.000	Small plants and premature senescence under normal soil-grown conditions.	Small plants and premature senescence under normal soil-grown conditions.	5585
1	Arabidopsis	APG7	AT5G45900	1.000	Hypersensitivity to N and fixed-C deprivation.	Hypersensitivity to N and fixed-C deprivation.	5585
1	Arabidopsis	APG7	AT5G45900	0.462	The atg7-1 plants are hypersensitive to either nitrogen or carbon deprivation.	Hypersensitivity to N and fixed-C deprivation.	5585
1	Arabidopsis	APG7	AT5G45900	0.462	Hypersensitivity to N and fixed-C deprivation.	The atg7-1 plants are hypersensitive to either nitrogen or carbon deprivation.	5585
1	Arabidopsis	APG7	AT5G45900	0.185	Senescence is initiated more quickly than in wild type.	Small plants and premature senescence under normal soil-grown conditions.	5585
1	Arabidopsis	APG7	AT5G45900	0.185	Small plants and premature senescence under normal soil-grown conditions.	Senescence is initiated more quickly than in wild type.	5585
1	Arabidopsis	APG7	AT5G45900	0.040	The atg7-1 plants are hypersensitive to either nitrogen or carbon deprivation.	Small plants and premature senescence under normal soil-grown conditions.	5585
1	Arabidopsis	APG7	AT5G45900	0.040	Small plants and premature senescence under normal soil-grown conditions.	The atg7-1 plants are hypersensitive to either nitrogen or carbon deprivation.	5585
1	Arabidopsis	APG7	AT5G45900	0.000	The atg7-1 plants are hypersensitive to either nitrogen or carbon deprivation.	Senescence is initiated more quickly than in wild type.	5585
1	Arabidopsis	APG7	AT5G45900	0.000	Senescence is initiated more quickly than in wild type.	The atg7-1 plants are hypersensitive to either nitrogen or carbon deprivation.	5585
1	Arabidopsis	APG7	AT5G45900	0.000	Senescence is initiated more quickly than in wild type.	Hypersensitivity to N and fixed-C deprivation.	5585
1	Arabidopsis	APG7	AT5G45900	0.000	Small plants and premature senescence under normal soil-grown conditions.	Hypersensitivity to N and fixed-C deprivation.	5585
1	Arabidopsis	APG7	AT5G45900	0.000	Hypersensitivity to N and fixed-C deprivation.	Senescence is initiated more quickly than in wild type.	5585
1	Arabidopsis	APG7	AT5G45900	0.000	Hypersensitivity to N and fixed-C deprivation.	Small plants and premature senescence under normal soil-grown conditions.	5585
2	Arabidopsis	AT3G59950	AT3G59950	1.000	Small plants and premature senescence under normal soil-grown conditions.	Small plants and premature senescence under normal soil-grown conditions.	5030
2	Arabidopsis	AT3G59950	AT3G59950	1.000	Hypersensitivity to N and fixed-C deprivation.	Hypersensitivity to N and fixed-C deprivation.	5030
