from,to,bin,mean,sd
ath,ath,10,5.5,2.6299556396765835
ath,ath,20,3.888888888888889,2.3306863292670035
ath,ath,30,1.3888888888888888,1.8299632324445114
ath,ath,40,0.8888888888888888,2.051798368068821
ath,ath,50,0.9444444444444444,1.177201116689838
ath,ath,100,4.388888888888889,4.296495844663402
ath,zma,10,0.8333333333333334,1.5723301886761003
ath,zma,20,0.3888888888888889,0.8258927081843613
ath,zma,30,0.5555555555555556,1.257078722109418
ath,zma,40,0.05555555555555555,0.2290614236454256
ath,zma,50,0.3333333333333333,1.1547005383792515
ath,zma,100,10.833333333333334,3.5629263877386577
zma,ath,10,0.15384615384615385,0.36080121229410994
zma,ath,20,0.23076923076923078,0.5756395979652217
zma,ath,30,0.6153846153846154,0.737820234355803
zma,ath,40,0.7692307692307693,1.3099527973789538
zma,ath,50,0.3076923076923077,0.6056929133855238
zma,ath,100,15.923076923076923,2.0925339244208376
zma,zma,10,2.076923076923077,1.1409536133993328
zma,zma,20,4.384615384615385,1.5951108733329016
zma,zma,30,2.5384615384615383,1.692307692307692
zma,zma,40,0.3076923076923077,0.8213137116947162
zma,zma,50,0.46153846153846156,0.6343239424027171
zma,zma,100,2.076923076923077,2.6735611072281182
