species,pathway_id,pathway_name,gene_names,ncbi_id,uniprot_id,ko_number,ec_number
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",HKL3|hexokinase-like 3,AT4G37840,,KO:K00844,EC:2.7.1.1
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",HXK3|hexokinase 3,AT1G47840,,KO:K00844,EC:2.7.1.1
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",HXK2|hexokinase 2,AT2G19860,,KO:K00844,EC:2.7.1.1
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",HXK1|hexokinase 1,AT4G29130,,KO:K00844,EC:2.7.1.1
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",HKL1|hexokinase-like 1,AT1G50460,,KO:K00844,EC:2.7.1.1
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",ATHXK4|Hexokinase,AT3G20040,,KO:K00844,EC:2.7.1.1
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",PGI1|phosphoglucose isomerase 1,AT4G24620,,KO:K01810,EC:5.3.1.9
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Sugar isomerase (SIS) family protein,AT5G42740,,KO:K01810,EC:5.3.1.9
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",PFK6|phosphofructokinase 6,AT4G32840,,KO:K00850,EC:2.7.1.11
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",PFK7|phosphofructokinase 7,AT5G56630,,KO:K00850,EC:2.7.1.11
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",PFK4|phosphofructokinase 4,AT5G61580,,KO:K00850,EC:2.7.1.11
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",PFK1|phosphofructokinase 1,AT4G29220,,KO:K00850,EC:2.7.1.11
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",PFK5|phosphofructokinase 5,AT2G22480,,KO:K00850,EC:2.7.1.11
